POINTID,GRID_CODE,x_center,y_center
110,146.61512756,-101.64020937900,36.48662010910
111,121.09621429,-101.59315779500,36.48863569330
112,95.55419159,-101.54610345100,36.49063440410
113,67.28220367,-101.49904637200,36.49261624010
114,80.17156219,-101.45198657900,36.49458120010
115,98.43492889,-101.40492409700,36.49652928290
116,119.56327057,-101.35785894600,36.49846048710
117,179.24189758,-103.02513869400,36.40260056420
118,183.60578918,-103.00166495200,36.40385876040
119,187.86904907,-102.97819034900,36.40511275000
120,189.26881409,-102.95471488800,36.40636253270
121,190.24674988,-102.93123857400,36.40760810840
122,196.27334595,-102.90776140700,36.40884947690
123,191.03981018,-102.86080453000,36.41131959120
124,147.68034363,-102.81384428000,36.41377287420
125,89.90145111,-102.76688068100,36.41620932430
126,80.63934326,-102.71991375400,36.41862893990
127,102.74921417,-102.67294352200,36.42103171950
128,127.20724487,-102.62597000800,36.42341766160
129,152.75093079,-102.57899323500,36.42578676460
130,158.88731384,-102.53201322500,36.42813902710
131,115.07898712,-102.48503000200,36.43047444750
132,94.61789703,-102.43804358700,36.43279302430
133,73.74664307,-102.39105400500,36.43509475610
134,74.49063110,-102.34406127600,36.43737964140
135,83.45693207,-102.29706542600,36.43964767880
136,75.59967804,-102.25006647500,36.44189886670
137,30.96263123,-102.20306444700,36.44413320380
138,151.52346802,-102.15605936500,36.44635068860
139,87.10398865,-102.10905125100,36.44855131970
140,121.23044586,-102.06204012800,36.45073509570
141,150.80845642,-102.01502602000,36.45290201520
142,145.26847839,-101.96800894900,36.45505207690
143,150.06018066,-101.92098893800,36.45718527930
144,135.92405701,-101.87396600900,36.45930162100
145,124.87702942,-101.82694018600,36.46140110080
146,154.16673279,-101.77991149200,36.46348371730
147,178.82162476,-101.73287994800,36.46554946920
148,143.03860474,-101.68584557900,36.46759835500
149,140.13145447,-101.63880840800,36.46963037360
150,110.40628052,-101.59176845600,36.47164552370
151,91.30528259,-101.54472574700,36.47364380380
152,84.08126068,-101.49768030500,36.47562521280
153,84.38574219,-101.45063215100,36.47758974940
154,97.50688171,-101.40358130900,36.47953741230
155,114.12006378,-101.35652780100,36.48146820020
156,153.66548157,-101.30947165200,36.48338211200
157,197.27442932,-101.26241288300,36.48527914640
158,253.55726624,-101.21535151800,36.48715930220
159,247.84970093,-101.16828757900,36.48902257820
